"Timestamp","what college at NEU are you in? ","what is your major? ","what year are you in? ","how many times have you been on co-op","what working conditions did you have at your co-op

*if you had more than 1 co-op, use your most enjoyable or most recent co-op experience! ","what industry did you work in? ","if you worked in person would you have liked to work remotely? ","if you worked remotely would you have liked to work in-person","how many days during the work week did you work remotely? ","how many days during the work week did you work in person? ","how would you honestly rate your productivity working in person","how would you honestly rate your productivity working remotely from home","how satisfied were you working in person?","how satisfied were you working remotely?","how much would you satisfaction have improved if you worked remotely? ","how much would you satisfaction have improved if you worked in person? ","did your employer urge you to work remotely? ","did your employer urge you to work in person?","what percentage of your company worked fully remotely","when looking for employment opportunities in the future what do you prioritize?"
"2024/03/26 3:27:45 PM AST","college of science","Biochemistry","4th","1","inperson","tech","maybe","not applicable (worked in person already)","0","5","4","3","2","4","5","2","5","3","< 50","hybrid"
"2024/03/26 3:28:30 PM AST","khoury college of computer sciences","CS + Business","3rd","2","hybrid","tech","not applicable (worked remotely)","not applicable (worked in person already)","4","1","5","4","5","5","0","0","2","4","< 50","hybrid"
"2024/03/26 3:29:41 PM AST","khoury college of computer sciences","data science ","4th","2","remote","tech","not applicable (worked remotely)","maybe","5","0","3","5","0","5","5","1","5","2","< 50","remote"
"2024/03/26 4:02:25 PM AST","d'amore-mckim school of business","data science and business admin","2nd","1","hybrid","tech","maybe","maybe","3","3","4","2","4","3","3","3","4","2","70","hybrid"
"2024/03/26 4:04:35 PM AST","college of science","","3rd","1","inperson","health care","no","not applicable (worked in person already)","0","5","4","0","5","0","0","0","5","1","< 50","hybrid"
"2024/03/26 4:07:03 PM AST","d'amore-mckim school of business","Finance","3rd","1","inperson;hybrid","finance and economic","yes","no","2","4","3","4","3","4","3","2","4","2","< 50","no preference!"
"2024/03/26 4:08:07 PM AST","khoury college of computer sciences","Computer Science and Math","3rd","2","hybrid","tech","maybe","not applicable (worked in person already)","2","3","4","2","3","5","4","3","4","4","< 50","no preference!"
"2024/03/26 4:09:09 PM AST","khoury college of computer sciences","Data science","4th","2","remote","tech","not applicable (worked remotely)","maybe","5","0","2","4","0","3","2","1","1","5","90","remote"
"2024/03/26 4:11:58 PM AST","college of engineering","bioengineering","5th","3","remote","health care","not applicable (worked remotely)","no","5","0","5","4","0","5","5","3","1","5","60","hybrid"
"2024/03/26 4:13:46 PM AST","college of arts, media and design","Interaction Design & Marketing Combined","5th","1","remote","media and news","not applicable (worked remotely)","yes","5","0","4","3","0","4","0","4","1","5","100","hybrid"
"2024/03/26 4:18:02 PM AST","d'amore-mckim school of business","marketing","5th","2","hybrid","consulting","not applicable (worked remotely)","not applicable (worked in person already)","4","1","5","2","5","2","3","3","5","3","< 50","hybrid"
"2024/03/26 4:25:23 PM AST","bouve college of health sciences","pharmacy","4th","3","inperson","health care","yes","not applicable (worked in person already)","0","5","5","4","3","0","4","3","5","1","< 50","hybrid"
"2024/03/26 4:25:38 PM AST","d'amore-mckim school of business","Finance","Alumni","3","remote","finance and economic","maybe","maybe","5","0","4","2","3","3","3","3","4","4","100","no preference!"
"2024/03/26 4:27:02 PM AST","d'amore-mckim school of business","Business Administration ","3rd","1","hybrid","tech","yes","maybe","1","4","4","3","4","4","4","4","3","4","< 50","hybrid"
"2024/03/26 4:33:12 PM AST","khoury college of computer sciences","Computer Science","graduated","2","hybrid","tech","not applicable (worked remotely)","no","4","1","3","3","2","4","4","2","2","4","70","hybrid"
"2024/03/26 4:36:18 PM AST","bouve college of health sciences","Pharmacy","5th","3","inperson","health care","yes","not applicable (worked in person already)","0","5","4","3","3","0","4","3","5","1","< 50","hybrid"
"2024/03/26 4:36:38 PM AST","khoury college of computer sciences","","5th","2","remote","health care","not applicable (worked remotely)","not applicable (worked in person already)","2","3","4","3","3","3","1","0","4","4","< 50","no preference!"
"2024/03/26 4:38:41 PM AST","d'amore-mckim school of business","Business Management/analytics","3rd","1","hybrid","transportation","not applicable (worked remotely)","not applicable (worked in person already)","2","4","5","4","4","4","","","4","2","< 50","hybrid"
"2024/03/26 5:02:22 PM AST","d'amore-mckim school of business","Supply chain","2nd","0","hybrid","health care","maybe","maybe","4","1","2","2","2","4","5","2","3","3","70","no preference!"
"2024/03/26 5:07:57 PM AST","d'amore-mckim school of business","Combined Business and Comm","4th","3","hybrid","finance and economic","yes","maybe","2","2","5","3","4","4","3","3","3","4","< 50","hybrid"
"2024/03/26 5:36:55 PM AST","khoury college of computer sciences","Computer Science and Cognitive Psychology","4th","2","hybrid","tech","yes","yes","4","1","2","3","4","4","4","4","4","3","70","hybrid"
"2024/03/26 5:54:27 PM AST","d'amore-mckim school of business","Data Science and Business ","3rd","0","remote","banking","no","maybe","4","3","1","2","4","1","4","2","2","1","60","remote"
"2024/03/26 5:56:32 PM AST","khoury college of computer sciences","Computer Science","3rd","1","hybrid","tech","maybe","maybe","2","3","4","3","4","3","2","3","3","3","60","hybrid"
"2024/03/26 6:18:06 PM AST","d'amore-mckim school of business","Econ and Business","4th","2","hybrid","tech","no","yes","2","3","5","1","5","2","0","5","4","2","< 50","hybrid"
"2024/03/26 6:24:04 PM AST","d'amore-mckim school of business","Business Administration: finance and marketing analytics","4th","2","hybrid","finance and economic","not applicable (worked remotely)","not applicable (worked in person already)","3","3","4","3","4","4","3","3","3","2","< 50","hybrid"
